group_label,group_size,mode_count_min,mode_count_max,mode_count_avg,mode_count_std,mode_count_median
Block size 02,18,"{0: 17584.0, 1: 14365.0, 2: 19812.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 8800.0, 7: 0.0, 8: 12032.0, 9: 8317.0, 10: 2465.0, 11: 0.0, 12: 12253.0, 13: 12168.0, 14: 7425.0, 15: 8829.0, 16: 5834.0, 17: 6262.0, 18: 6613.0, 19: 6763.0, 20: 8068.0, 21: 10951.0, 22: 9473.0, 23: 9214.0, 24: 11519.0, 25: 10053.0, 26: 5939.0, 27: 0.0, 28: 12124.0, 29: 15475.0, 30: 12813.0, 31: 15062.0, 32: 9906.0, 33: 10428.0, 34: 13810.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0}","{0: 124509.0, 1: 53372.0, 2: 66145.0, 3: 12869.0, 4: 13654.0, 5: 15683.0, 6: 49583.0, 7: 24684.0, 8: 42229.0, 9: 31842.0, 10: 68230.0, 11: 34055.0, 12: 34166.0, 13: 36351.0, 14: 23484.0, 15: 23160.0, 16: 23549.0, 17: 27728.0, 18: 27658.0, 19: 27539.0, 20: 25035.0, 21: 25629.0, 22: 24736.0, 23: 27613.0, 24: 53304.0, 25: 54644.0, 26: 60234.0, 27: 25540.0, 28: 57525.0, 29: 58262.0, 30: 36161.0, 31: 41789.0, 32: 30672.0, 33: 38281.0, 34: 59383.0, 35: 13315.0, 36: 33102.0, 37: 6622.0, 38: 32168.0, 39: 37669.0, 40: 20379.0}","{0: 55334.444444444445, 1: 31361.222222222223, 2: 39443.5, 3: 5189.222222222223, 4: 5192.388888888889, 5: 4041.277777777778, 6: 22084.38888888889, 7: 9057.055555555555, 8: 25266.833333333332, 9: 17506.722222222223, 10: 21331.88888888889, 11: 9370.555555555555, 12: 21922.944444444445, 13: 22366.11111111111, 14: 13459.333333333334, 15: 15192.5, 16: 13785.611111111111, 17: 16792.11111111111, 18: 12356.611111111111, 19: 14645.888888888889, 20: 17327.944444444445, 21: 16091.277777777777, 22: 17501.666666666668, 23: 16961.61111111111, 24: 27415.222222222223, 25: 25203.0, 26: 26298.444444444445, 27: 9277.888888888889, 28: 28625.555555555555, 29: 31818.88888888889, 30: 23140.277777777777, 31: 27414.666666666668, 32: 20523.944444444445, 33: 23903.277777777777, 34: 29642.055555555555, 35: 7872.777777777777, 36: 11872.555555555555, 37: 3011.6111111111113, 38: 10827.222222222223, 39: 13953.388888888889, 40: 6816.111111111111}","{0: 34815.68405056113, 1: 12865.929227571902, 2: 16411.860600868902, 3: 4457.204103280515, 4: 4627.218401371058, 5: 4299.676086371207, 6: 11885.851723490852, 7: 8312.324425193787, 8: 9447.22146048929, 9: 7659.744488178637, 10: 19950.59273154232, 11: 10391.271055255505, 12: 6872.366665492123, 13: 8122.137989245188, 14: 5264.458600173542, 15: 4456.590641629408, 16: 5762.584521660489, 17: 7110.839305875708, 18: 6371.206443504372, 19: 6172.7202878175185, 20: 5783.590259592192, 21: 3879.929878164955, 22: 5136.151191195945, 23: 5938.985030525878, 24: 13207.080808305982, 25: 14328.7275942628, 26: 18010.9318543333, 27: 9168.038502696643, 28: 13874.159481578024, 29: 15005.512147556228, 30: 9784.245594805821, 31: 10651.423561306392, 32: 7517.877762743656, 33: 9313.824568606135, 34: 13519.891713246392, 35: 5848.557032249675, 36: 10605.662395610809, 37: 2551.344700554151, 38: 10080.616324269275, 39: 12165.998158507606, 40: 6472.414931519118}","{0: 46662.5, 1: 26711.5, 2: 34904.5, 3: 5274.5, 4: 5239.5, 5: 3818.0, 6: 19464.0, 7: 8208.5, 8: 24255.5, 9: 16372.0, 10: 14197.0, 11: 5792.0, 12: 21786.0, 13: 20890.0, 14: 11721.5, 15: 14824.5, 16: 12239.5, 17: 15742.5, 18: 9443.0, 19: 12171.0, 20: 17863.5, 21: 15446.5, 22: 17469.5, 23: 15787.5, 24: 24278.5, 25: 20607.0, 26: 19001.0, 27: 7002.0, 28: 26012.0, 29: 29339.5, 30: 21645.5, 31: 26466.5, 32: 20895.0, 33: 24209.5, 34: 27128.0, 35: 11294.5, 36: 12994.0, 37: 2844.5, 38: 12106.5, 39: 15263.5, 40: 7050.0}"
Block size 04,18,"{0: 4598.0, 1: 5102.0, 2: 1917.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 1392.0, 7: 1536.0, 8: 2692.0, 9: 1959.0, 10: 1191.0, 11: 1836.0, 12: 2998.0, 13: 1772.0, 14: 1497.0, 15: 0.0, 16: 1243.0, 17: 1550.0, 18: 661.0, 19: 1888.0, 20: 0.0, 21: 0.0, 22: 2126.0, 23: 2309.0, 24: 2719.0, 25: 1889.0, 26: 1562.0, 27: 2105.0, 28: 3800.0, 29: 3556.0, 30: 3127.0, 31: 2343.0, 32: 1679.0, 33: 2199.0, 34: 1704.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0}","{0: 33575.0, 1: 14353.0, 2: 12202.0, 3: 4141.0, 4: 4265.0, 5: 4551.0, 6: 9579.0, 7: 7218.0, 8: 8107.0, 9: 6680.0, 10: 18450.0, 11: 15833.0, 12: 8858.0, 13: 7842.0, 14: 6717.0, 15: 4685.0, 16: 5694.0, 17: 7190.0, 18: 5072.0, 19: 9437.0, 20: 5239.0, 21: 5328.0, 22: 9507.0, 23: 7888.0, 24: 10026.0, 25: 13393.0, 26: 12222.0, 27: 10266.0, 28: 14069.0, 29: 13380.0, 30: 11710.0, 31: 9020.0, 32: 8304.0, 33: 8029.0, 34: 11602.0, 35: 16267.0, 36: 17314.0, 37: 9910.0, 38: 3273.0, 39: 9675.0, 40: 4464.0}","{0: 16879.0, 1: 8368.666666666666, 2: 6187.722222222223, 3: 1928.7222222222222, 4: 1885.5555555555557, 5: 1839.611111111111, 6: 4685.611111111111, 7: 4111.055555555556, 8: 4772.277777777777, 9: 4124.888888888889, 10: 5723.277777777777, 11: 5414.888888888889, 12: 4931.777777777777, 13: 4110.722222222223, 14: 3741.6111111111113, 15: 1812.888888888889, 16: 3219.277777777778, 17: 3909.8888888888887, 18: 2452.722222222222, 19: 4790.722222222223, 20: 2071.222222222222, 21: 1986.0555555555557, 22: 4573.888888888889, 23: 4528.944444444444, 24: 5496.833333333333, 25: 5149.055555555556, 26: 5189.777777777777, 27: 4859.055555555556, 28: 7089.777777777777, 29: 7163.222222222223, 30: 6762.777777777777, 31: 5253.166666666667, 32: 4684.833333333333, 33: 5198.388888888889, 34: 5962.166666666667, 35: 6112.555555555556, 36: 4978.944444444444, 37: 3873.3333333333335, 38: 1414.2222222222222, 39: 3798.6666666666665, 40: 1762.2222222222222}","{0: 8443.788918140815, 1: 2594.0598206173227, 2: 3015.4934588974975, 3: 1592.7286170947073, 4: 1619.1388496293594, 5: 1615.463915845443, 6: 2451.2886200308626, 7: 1881.7440743730026, 8: 1787.8813885370373, 9: 1640.564353718808, 10: 5607.514347159066, 11: 4557.758555008331, 12: 1826.0483388858338, 13: 1975.1285529437305, 14: 1671.362640232035, 15: 1628.5790229482043, 16: 1356.7118904154895, 17: 1609.214601595116, 18: 1439.6171797332117, 19: 1993.974299366957, 20: 1761.3384468020356, 21: 1698.0007438584328, 22: 1956.7250818016398, 23: 1695.3230985557684, 24: 2178.645214482669, 25: 3590.0438875282694, 26: 3480.870150772066, 27: 2583.3530075152153, 28: 3156.206389202365, 29: 3191.854164359009, 30: 2959.6259810510546, 31: 2570.576548970609, 32: 2339.096438169838, 33: 1996.3448699734427, 34: 3368.603729772218, 35: 5348.367658863692, 36: 5385.235605444184, 37: 3307.4697455376763, 38: 1152.1115425756084, 39: 3244.297676195066, 40: 1522.859947040651}","{0: 16062.5, 1: 7899.0, 2: 5625.0, 3: 2174.5, 4: 1936.0, 5: 1958.0, 6: 4543.0, 7: 4007.5, 8: 4670.5, 9: 4530.0, 10: 4385.0, 11: 3901.0, 12: 4733.5, 13: 3619.0, 14: 3179.5, 15: 1846.0, 16: 2911.5, 17: 3572.0, 18: 2061.0, 19: 4553.0, 20: 2249.5, 21: 2147.5, 22: 4354.0, 23: 4298.0, 24: 4947.0, 25: 4332.0, 26: 4646.0, 27: 4495.5, 28: 6376.5, 29: 6588.0, 30: 6235.0, 31: 4995.0, 32: 4693.5, 33: 5353.5, 34: 6056.5, 35: 6247.5, 36: 3582.0, 37: 4300.5, 38: 1588.5, 39: 4387.5, 40: 1888.5}"
Block size 08,18,"{0: 1137.0, 1: 2158.0, 2: 238.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 188.0, 7: 220.0, 8: 219.0, 9: 460.0, 10: 165.0, 11: 444.0, 12: 227.0, 13: 309.0, 14: 223.0, 15: 133.0, 16: 151.0, 17: 152.0, 18: 93.0, 19: 179.0, 20: 0.0, 21: 0.0, 22: 361.0, 23: 376.0, 24: 470.0, 25: 405.0, 26: 199.0, 27: 460.0, 28: 532.0, 29: 554.0, 30: 515.0, 31: 342.0, 32: 238.0, 33: 0.0, 34: 206.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0}","{0: 9398.0, 1: 6992.0, 2: 2197.0, 3: 1200.0, 4: 999.0, 5: 1110.0, 6: 1701.0, 7: 1617.0, 8: 1796.0, 9: 1779.0, 10: 4577.0, 11: 4946.0, 12: 2023.0, 13: 1772.0, 14: 1468.0, 15: 1041.0, 16: 995.0, 17: 1232.0, 18: 1074.0, 19: 1554.0, 20: 1151.0, 21: 1220.0, 22: 1828.0, 23: 1885.0, 24: 1921.0, 25: 4225.0, 26: 3272.0, 27: 3699.0, 28: 3026.0, 29: 3219.0, 30: 3471.0, 31: 2502.0, 32: 2232.0, 33: 1573.0, 34: 1854.0, 35: 6937.0, 36: 7462.0, 37: 4842.0, 38: 1576.0, 39: 3953.0, 40: 2803.0}","{0: 4887.888888888889, 1: 3322.6111111111113, 2: 1142.111111111111, 3: 433.94444444444446, 4: 386.3333333333333, 5: 382.0, 6: 868.4444444444445, 7: 778.6111111111111, 8: 780.6111111111111, 9: 905.3333333333334, 10: 1119.9444444444443, 11: 1456.111111111111, 12: 787.5, 13: 762.2777777777778, 14: 690.1666666666666, 15: 514.5, 16: 491.94444444444446, 17: 591.4444444444445, 18: 453.55555555555554, 19: 741.6111111111111, 20: 381.22222222222223, 21: 423.22222222222223, 22: 957.0, 23: 809.7222222222222, 24: 930.0555555555555, 25: 1313.6666666666667, 26: 990.2777777777778, 27: 1479.611111111111, 28: 1302.8333333333333, 29: 1610.5555555555557, 30: 1800.611111111111, 31: 1244.5, 32: 1045.388888888889, 33: 534.1111111111111, 34: 1039.1666666666667, 35: 2702.222222222222, 36: 2854.277777777778, 37: 1866.6666666666667, 38: 620.7777777777778, 39: 1717.1666666666667, 40: 1080.0}","{0: 2424.796774720061, 1: 1328.0170595506356, 2: 624.7451140395897, 3: 389.8677712827355, 4: 345.9292685268615, 5: 360.3067320720924, 6: 447.62474071115867, 7: 408.6025163161251, 8: 461.6924286717408, 9: 412.1638737486941, 10: 1279.7575814662173, 11: 1365.2921639013596, 12: 514.4811492573624, 13: 442.6353971060627, 14: 354.16799769069377, 15: 270.1803863652404, 16: 243.8436027751786, 17: 283.9171839115439, 18: 277.9814260029155, 19: 375.4736834028513, 20: 353.95289742389633, 21: 389.9162135571836, 22: 453.89024327603306, 23: 401.1609337550727, 24: 454.0474803135515, 25: 1073.8709529219104, 26: 921.8527894189381, 27: 901.5945442504753, 28: 715.0765693266701, 29: 805.2452474226296, 30: 1019.9321280122683, 31: 791.8132764142582, 32: 686.3113801020032, 33: 535.097120254422, 34: 577.2949343069542, 35: 2332.3796118116734, 36: 2620.3411049968186, 37: 1594.6709784189857, 38: 544.7525672056298, 39: 1459.8434746876924, 40: 976.033991693515}","{0: 4619.5, 1: 2946.5, 2: 999.0, 3: 406.5, 4: 389.5, 5: 365.0, 6: 839.5, 7: 697.0, 8: 734.0, 9: 803.5, 10: 689.5, 11: 825.0, 12: 639.0, 13: 580.0, 14: 609.5, 15: 437.5, 16: 430.0, 17: 556.5, 18: 387.0, 19: 718.5, 20: 356.5, 21: 393.0, 22: 857.5, 23: 758.5, 24: 774.5, 25: 872.5, 26: 632.5, 27: 1075.5, 28: 1162.5, 29: 1585.0, 30: 1576.0, 31: 1114.0, 32: 959.0, 33: 412.5, 34: 1046.5, 35: 2583.0, 36: 2488.0, 37: 2171.5, 38: 525.0, 39: 1685.5, 40: 876.0}"
Block size 16,18,"{0: 129.0, 1: 387.0, 2: 23.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 20.0, 8: 16.0, 9: 0.0, 10: 15.0, 11: 29.0, 12: 24.0, 13: 40.0, 14: 17.0, 15: 12.0, 16: 21.0, 17: 12.0, 18: 16.0, 19: 21.0, 20: 28.0, 21: 30.0, 22: 35.0, 23: 41.0, 24: 48.0, 25: 41.0, 26: 17.0, 27: 32.0, 28: 53.0, 29: 57.0, 30: 36.0, 31: 30.0, 32: 27.0, 33: 0.0, 34: 31.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0}","{0: 2913.0, 1: 3334.0, 2: 461.0, 3: 268.0, 4: 205.0, 5: 247.0, 6: 301.0, 7: 361.0, 8: 394.0, 9: 385.0, 10: 1278.0, 11: 1102.0, 12: 482.0, 13: 391.0, 14: 231.0, 15: 196.0, 16: 189.0, 17: 259.0, 18: 263.0, 19: 269.0, 20: 224.0, 21: 239.0, 22: 346.0, 23: 372.0, 24: 405.0, 25: 1091.0, 26: 983.0, 27: 836.0, 28: 780.0, 29: 850.0, 30: 963.0, 31: 571.0, 32: 578.0, 33: 336.0, 34: 378.0, 35: 2887.0, 36: 3442.0, 37: 1507.0, 38: 977.0, 39: 1280.0, 40: 1704.0}","{0: 1121.0555555555557, 1: 975.1111111111111, 2: 195.55555555555554, 3: 76.0, 4: 66.5, 5: 66.33333333333333, 6: 74.83333333333333, 7: 141.77777777777777, 8: 128.0, 9: 102.83333333333333, 10: 189.16666666666666, 11: 238.05555555555554, 12: 128.11111111111111, 13: 125.16666666666667, 14: 89.0, 15: 77.38888888888889, 16: 75.72222222222223, 17: 92.88888888888889, 18: 96.72222222222223, 19: 100.83333333333333, 20: 84.33333333333333, 21: 83.11111111111111, 22: 126.94444444444444, 23: 126.66666666666667, 24: 146.77777777777777, 25: 219.44444444444446, 26: 200.55555555555554, 27: 264.3333333333333, 28: 224.44444444444446, 29: 333.5, 30: 353.3888888888889, 31: 229.94444444444446, 32: 193.94444444444446, 33: 91.11111111111111, 34: 159.77777777777777, 35: 1288.5, 36: 1433.611111111111, 37: 678.5, 38: 433.94444444444446, 39: 558.1666666666666, 40: 687.9444444444445}","{0: 900.5399995834016, 1: 772.3552130745275, 2: 142.86819191631812, 3: 85.43177532566041, 4: 70.00441162568845, 5: 73.31559500262024, 6: 86.14368981020982, 7: 95.77827062639524, 8: 101.76963605874501, 9: 120.24252453222344, 10: 291.66020721138534, 11: 285.91884332327635, 12: 114.17679216583835, 13: 90.15427953040864, 14: 62.50835238307805, 15: 51.49544684485837, 16: 43.71270585990727, 17: 60.91642190342716, 18: 62.44885489041559, 19: 62.549980015984026, 20: 50.89551002963298, 21: 53.28490448289867, 22: 92.65271795144947, 23: 85.67174014121301, 24: 109.46584509256787, 25: 254.20747020592597, 26: 246.57637457131213, 27: 255.39842000524683, 28: 188.06357567783303, 29: 234.93985463117502, 30: 282.96063723108597, 31: 179.92628301685508, 32: 157.3977622317279, 33: 108.86088742269888, 34: 107.56095702960337, 35: 1075.9798953949453, 36: 1308.7295203808692, 37: 557.752237847173, 38: 375.3999392369223, 39: 488.0179902662702, 40: 658.3039233937129}","{0: 842.5, 1: 665.0, 2: 166.0, 3: 48.0, 4: 63.5, 5: 51.0, 6: 51.5, 7: 125.0, 8: 82.5, 9: 56.5, 10: 122.0, 11: 136.5, 12: 72.5, 13: 83.0, 14: 73.0, 15: 72.5, 16: 68.0, 17: 81.5, 18: 84.5, 19: 84.5, 20: 69.5, 21: 72.0, 22: 93.0, 23: 107.0, 24: 94.0, 25: 93.0, 26: 76.5, 27: 163.5, 28: 182.0, 29: 264.0, 30: 235.5, 31: 180.5, 32: 165.0, 33: 52.5, 34: 139.0, 35: 1259.5, 36: 1251.0, 37: 782.0, 38: 468.5, 39: 594.0, 40: 474.0}"
Block size 32,18,"{0: 5.0, 1: 36.0, 2: 1.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 1.0, 10: 0.0, 11: 1.0, 12: 0.0, 13: 3.0, 14: 0.0, 15: 1.0, 16: 2.0, 17: 2.0, 18: 0.0, 19: 2.0, 20: 3.0, 21: 2.0, 22: 1.0, 23: 1.0, 24: 0.0, 25: 0.0, 26: 1.0, 27: 1.0, 28: 0.0, 29: 1.0, 30: 1.0, 31: 2.0, 32: 0.0, 33: 0.0, 34: 2.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0}","{0: 917.0, 1: 895.0, 2: 124.0, 3: 63.0, 4: 58.0, 5: 56.0, 6: 78.0, 7: 89.0, 8: 80.0, 9: 79.0, 10: 282.0, 11: 266.0, 12: 99.0, 13: 72.0, 14: 57.0, 15: 46.0, 16: 43.0, 17: 58.0, 18: 62.0, 19: 60.0, 20: 60.0, 21: 58.0, 22: 89.0, 23: 69.0, 24: 76.0, 25: 229.0, 26: 250.0, 27: 274.0, 28: 179.0, 29: 244.0, 30: 261.0, 31: 145.0, 32: 158.0, 33: 114.0, 34: 90.0, 35: 933.0, 36: 1165.0, 37: 449.0, 38: 442.0, 39: 319.0, 40: 770.0}","{0: 241.33333333333334, 1: 207.22222222222223, 2: 30.11111111111111, 3: 12.166666666666666, 4: 11.777777777777779, 5: 10.5, 6: 12.277777777777779, 7: 17.333333333333332, 8: 15.833333333333334, 9: 20.555555555555557, 10: 33.166666666666664, 11: 40.05555555555556, 12: 16.944444444444443, 13: 19.333333333333332, 14: 12.38888888888889, 15: 11.277777777777779, 16: 13.555555555555555, 17: 13.222222222222221, 18: 19.666666666666668, 19: 12.88888888888889, 20: 13.11111111111111, 21: 14.38888888888889, 22: 21.22222222222222, 23: 16.11111111111111, 24: 20.5, 25: 31.77777777777778, 26: 37.166666666666664, 27: 52.44444444444444, 28: 32.05555555555556, 29: 47.388888888888886, 30: 52.611111111111114, 31: 37.44444444444444, 32: 28.22222222222222, 33: 19.38888888888889, 34: 23.555555555555557, 35: 468.27777777777777, 36: 505.27777777777777, 37: 207.94444444444446, 38: 200.16666666666666, 39: 134.16666666666666, 40: 285.1666666666667}","{0: 329.43552435322204, 1: 251.59504239844856, 2: 39.58444270891234, 3: 18.89677843692193, 4: 17.254344910794313, 5: 16.000919091249287, 6: 20.3810914547992, 7: 27.533936279777066, 8: 25.403218878948486, 9: 24.888509567604327, 10: 68.5996484299, 11: 63.61785933323905, 12: 26.15445574955739, 13: 20.181529120635506, 14: 16.088501150854476, 15: 12.740881655500813, 16: 14.283772043506211, 17: 15.291503044484447, 18: 19.93813962647232, 19: 15.400110346773834, 20: 16.178740185407765, 21: 16.19055239725021, 22: 25.58619930296881, 23: 21.809034525354498, 24: 26.789484328524043, 25: 55.54177606890951, 26: 60.992043839870675, 27: 75.85917465333357, 28: 50.445628531206715, 29: 67.77917334896672, 30: 68.02952550083884, 31: 44.61234624976024, 32: 40.9498338078299, 33: 29.488061171158524, 34: 29.847104938379104, 35: 375.5005765728409, 36: 457.8480104287828, 37: 175.2495606178002, 38: 172.58663638539204, 39: 118.41663734458938, 40: 277.82754913583267}","{0: 43.0, 1: 76.5, 2: 12.0, 3: 2.0, 4: 2.5, 5: 2.5, 6: 3.0, 7: 5.0, 8: 2.5, 9: 7.0, 10: 4.0, 11: 7.0, 12: 5.0, 13: 13.0, 14: 6.0, 15: 6.0, 16: 7.0, 17: 8.0, 18: 14.0, 19: 5.0, 20: 5.0, 21: 9.0, 22: 9.0, 23: 5.0, 24: 5.0, 25: 4.0, 26: 27.0, 27: 21.0, 28: 14.0, 29: 14.0, 30: 27.0, 31: 26.5, 32: 14.0, 33: 6.0, 34: 10.0, 35: 491.0, 36: 473.0, 37: 228.0, 38: 205.5, 39: 125.5, 40: 220.0}"
Block size 64,18,"{0: 1.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0}","{0: 274.0, 1: 234.0, 2: 35.0, 3: 16.0, 4: 12.0, 5: 11.0, 6: 23.0, 7: 23.0, 8: 19.0, 9: 14.0, 10: 44.0, 11: 51.0, 12: 14.0, 13: 14.0, 14: 20.0, 15: 12.0, 16: 7.0, 17: 14.0, 18: 12.0, 19: 17.0, 20: 16.0, 21: 12.0, 22: 18.0, 23: 12.0, 24: 16.0, 25: 40.0, 26: 62.0, 27: 56.0, 28: 35.0, 29: 54.0, 30: 73.0, 31: 40.0, 32: 49.0, 33: 25.0, 34: 26.0, 35: 268.0, 36: 340.0, 37: 138.0, 38: 113.0, 39: 79.0, 40: 213.0}","{0: 69.66666666666667, 1: 50.77777777777778, 2: 8.666666666666666, 3: 2.888888888888889, 4: 2.111111111111111, 5: 1.8888888888888888, 6: 2.888888888888889, 7: 3.9444444444444446, 8: 3.2222222222222223, 9: 2.8333333333333335, 10: 6.722222222222222, 11: 7.5, 12: 2.611111111111111, 13: 3.1666666666666665, 14: 3.0, 15: 1.8888888888888888, 16: 1.6111111111111112, 17: 2.5, 18: 3.2222222222222223, 19: 2.611111111111111, 20: 2.1666666666666665, 21: 2.1666666666666665, 22: 3.6666666666666665, 23: 2.3333333333333335, 24: 3.888888888888889, 25: 5.611111111111111, 26: 7.666666666666667, 27: 10.222222222222221, 28: 6.722222222222222, 29: 7.611111111111111, 30: 10.944444444444445, 31: 6.5, 32: 5.166666666666667, 33: 3.7777777777777777, 34: 5.833333333333333, 35: 136.66666666666666, 36: 127.22222222222223, 37: 50.111111111111114, 38: 56.44444444444444, 39: 27.444444444444443, 40: 89.11111111111111}","{0: 105.01596517280822, 1: 72.77002902420067, 2: 12.988682856738832, 3: 5.132238233075872, 4: 3.4960294939005054, 5: 3.410863076716005, 6: 6.057459076008383, 7: 6.786424357167444, 8: 6.2360956446232345, 9: 4.792764153940199, 10: 11.741357550308354, 11: 12.631659571466125, 12: 4.32691832858239, 13: 4.99705795796828, 14: 5.313689313240571, 15: 3.5295206954867515, 16: 2.6599179308190717, 17: 4.287464628562721, 18: 4.305339442183195, 19: 4.258401921860427, 20: 4.133791878423205, 21: 3.6014702879926856, 22: 5.911106196862669, 23: 3.7259029699089683, 24: 5.969420987675821, 25: 10.58933363947442, 26: 14.903611879635873, 27: 16.55847234910116, 28: 10.725481234537606, 29: 14.213245226523076, 30: 20.206208196324283, 31: 11.382390940809042, 32: 11.642973139598483, 33: 6.88182222410482, 34: 9.050511847728965, 35: 104.8640576567362, 36: 124.11074540177015, 37: 48.00476555863875, 38: 44.77948876862134, 39: 27.848798098940566, 40: 82.68073884021236}","{0: 4.0, 1: 5.0, 2: 1.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 1.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 1.0, 19: 1.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 0.0, 32: 1.0, 33: 0.0, 34: 1.0, 35: 174.0, 36: 96.0, 37: 39.0, 38: 62.0, 39: 20.0, 40: 64.0}"
