file_path,task_name,task_label,param_dict,compressed_size_bytes,compression_ratio,lossless_reconstruction,compression_time_seconds,decompression_time_seconds,repetitions,compressed_file_sha256,bpppc,compression_ratio_dr,compression_efficiency_1byte_entropy,compression_efficiency_2byte_entropy,mse,pae,psnr_bps,psnr_dr
/home/artur/experiment-notebook/templates/lossy_compression_experiment/data/landsat/agriculture-u16be-6x1024x1024.raw,MCALIC_Magli_cdd2ed_ddd2ed__data_format=0_max_error=3,M-CALIC,"{'data_format': 0, 'max_error': 3}",1162613,10.822958284485033,False,10.78,11.61,1,3ce90e2cd0841c73e464c2496e02b3b7787a6bc4fcb4829cfc5699989ffb1ae6,1.478338877360026,5.411479142242516,5.816126512008866,4.4632567264482415,3.7154633204142247,3,90.62933629285116,42.43067382622525
/home/artur/experiment-notebook/templates/lossy_compression_experiment/data/landsat/agriculture-u16be-6x1024x1024.raw,MCALIC_Magli_cdd2ed_ddd2ed__data_format=0_max_error=4,M-CALIC,"{'data_format': 0, 'max_error': 4}",994577,12.651521199464698,False,10.23,9.67,1,551d03edd43f0962dc9d16d0a51d28d9b78e4eb7bf6c466c1cbc93cdbcd37326,1.2646700541178386,6.325760599732349,6.798774044147576,5.217333894214493,5.94299618403117,4,88.5894115613057,40.39074909467978
/home/artur/experiment-notebook/templates/lossy_compression_experiment/data/landsat/coast-u16be-6x1024x1024.raw,JPEG_LS_2bf27__ls=0_m=0,JPEG-LS,"{'ls': 0, 'm': 0}",2435684,5.166069161681072,True,2.32,2.04,1,ac124c48a9e01fb059045d4e027470c30060438199c804dba86cbd748f70221c,3.0971323649088536,2.583034580840536,2.8976124136572863,2.251853768447152,0.0,0,inf,inf
/home/artur/experiment-notebook/templates/lossy_compression_experiment/data/landsat/coast-u16be-6x1024x1024.raw,JPEG_LS_2bf27__ls=0_m=1,JPEG-LS,"{'ls': 0, 'm': 1}",1245347,10.103940508147527,False,1.06,1.68,1,74606f38ab6e22a95b96a3d50bba844e2bb90bde4ca60df86a82722d08f651bf,1.5835405985514324,5.0519702540737645,5.6672302532117005,4.404237689693262,0.6130863825480143,1,98.4542493754571,50.25558690883121
/home/artur/experiment-notebook/templates/lossy_compression_experiment/data/landsat/coast-u16be-6x1024x1024.raw,JPEG_LS_2bf27__ls=0_m=2,JPEG-LS,"{'ls': 0, 'm': 2}",841290,14.956687943515314,False,1.4,0.78,1,cc7d143831b34fba20ee85bd222cac33befee1abece4dee91a2ca30694d7c442,1.0697555541992188,7.478343971757657,8.389102680581527,6.5195166876421125,1.6011303265889485,2,94.2851992407164,46.08653677409052
/home/artur/experiment-notebook/templates/lossy_compression_experiment/data/landsat/coast-u16be-6x1024x1024.raw,JPEG_LS_2bf27__ls=0_m=3,JPEG-LS,"{'ls': 0, 'm': 3}",665719,18.90123610712628,False,0.8400000000000001,0.52,1,9099bdd60605cb9b667f584274f4a8adf65c2b8e49d915f7aa1e2b45b588b760,0.8465054829915365,9.45061805356314,10.601572426423813,8.238917913033026,2.9975899060567217,3,91.56174389865109,43.36308143202521
/home/artur/experiment-notebook/templates/lossy_compression_experiment/data/landsat/coast-u16be-6x1024x1024.raw,JPEG_LS_2bf27__ls=0_m=4,JPEG-LS,"{'ls': 0, 'm': 4}",558349,22.53592645460097,False,0.73,0.5800000000000001,1,6b24371b4a93b2c57242347bcd6c135cfb0f9513444c96b4653c544f0e579400,0.7099774678548177,11.267963227300491,12.640245069206596,9.823254262381473,4.839857896169026,4,89.48113997087667,41.282477504250785
/home/artur/experiment-notebook/templates/lossy_compression_experiment/data/landsat/coast-u16be-6x1024x1024.raw,Kakadu_cc23c1_dc23c1__bit_rate=1_ht=False_lossless=False_quality_factor=False_spatial_dwt_levels=5,Kakadu ,"{'ht': False, 'spatial_dwt_levels': 5, 'lossless': False, 'bit_rate': 1, 'quality_factor': False}",107991,116.51815429063534,False,0.08,0.08,1,0b0daa3019d7be5459c34a21d35b15a292b2c2be3774403fbbcb709d492485d9,0.13731765747070312,58.25907714531767,65.35422576091001,50.78945647458061,7.991525650024414,30,87.30316909801401,39.10450663138813
/home/artur/experiment-notebook/templates/lossy_compression_experiment/data/landsat/coast-u16be-6x1024x1024.raw,Kakadu_cc23c1_dc23c1__bit_rate=2_ht=False_lossless=False_quality_factor=False_spatial_dwt_levels=5,Kakadu ,"{'ht': False, 'spatial_dwt_levels': 5, 'lossless': False, 'bit_rate': 2, 'quality_factor': False}",107990,116.5192332623391,False,0.13,0.08,1,d5b8c1a45d0b3ce84514be66567a0aa19f408896f154823273601f80fbf9a505,0.1373163859049479,58.25961663116955,65.35483094866592,50.78992679087354,7.991525650024414,30,87.30316909801401,39.10450663138813
/home/artur/experiment-notebook/templates/lossy_compression_experiment/data/landsat/coast-u16be-6x1024x1024.raw,Kakadu_cc23c1_dc23c1__bit_rate=3_ht=False_lossless=False_quality_factor=False_spatial_dwt_levels=5,Kakadu ,"{'ht': False, 'spatial_dwt_levels': 5, 'lossless': False, 'bit_rate': 3, 'quality_factor': False}",107990,116.5192332623391,False,0.1,0.15,1,d5b8c1a45d0b3ce84514be66567a0aa19f408896f154823273601f80fbf9a505,0.1373163859049479,58.25961663116955,65.35483094866592,50.78992679087354,7.991525650024414,30,87.30316909801401,39.10450663138813
