__atable_index,group_label,group_size,row_created,row_updated,line_count_min,line_count_max,line_count_avg,line_count_std,line_count_median,word_count_min,word_count_max,word_count_avg,word_count_std,word_count_median,line_count_render-histogram,word_count_render-histogram
"('alive',)",alive,2,2021-11-09T20:24:34.373633,2021-11-09T20:24:34.378398,373.0,1854.0,1113.5,1047.2251429372768,1113.5,6053.0,20675.0,13364.0,10339.315354509697,13364.0,"[BarData(color=None), ScatterData(color=None), ErrorLines(color=None)]","[BarData(color=None), ScatterData(color=None), ErrorLines(color=None)]"
"('dead',)",dead,6,2021-11-09T20:24:34.374198,2021-11-09T20:24:34.379434,292.0,538.0,425.8333333333333,98.89674750297235,424.5,5312.0,15509.0,11164.833333333334,4634.970956399475,12472.5,"[BarData(color=None), ScatterData(color=None), ErrorLines(color=None)]","[BarData(color=None), ScatterData(color=None), ErrorLines(color=None)]"
