__atable_index,index,line_count,word_count,status,row_created,row_updated
"('/data/Dropbox/desarrollo/experiment-notebook.git/templates/basic_workflow_example/data/wiki/d_knuth.txt',)",./data/wiki/d_knuth.txt,373,6053,alive,2021-11-09T20:24:33.772532,2021-11-09T20:24:33.773249
"('/data/Dropbox/desarrollo/experiment-notebook.git/templates/basic_workflow_example/data/wiki/s_beauvoir.txt',)",./data/wiki/s_beauvoir.txt,292,5312,dead,2021-11-09T20:24:33.773337,2021-11-09T20:24:33.774033
"('/data/Dropbox/desarrollo/experiment-notebook.git/templates/basic_workflow_example/data/wiki/c_shannon.txt',)",./data/wiki/c_shannon.txt,343,5734,dead,2021-11-09T20:24:33.839569,2021-11-09T20:24:33.840394
"('/data/Dropbox/desarrollo/experiment-notebook.git/templates/basic_workflow_example/data/wiki/m_curie.txt',)",./data/wiki/m_curie.txt,538,11316,dead,2021-11-09T20:24:33.783275,2021-11-09T20:24:33.783882
"('/data/Dropbox/desarrollo/experiment-notebook.git/templates/basic_workflow_example/data/wiki/r_franklin.txt',)",./data/wiki/r_franklin.txt,419,15509,dead,2021-11-09T20:24:33.808737,2021-11-09T20:24:33.809226
"('/data/Dropbox/desarrollo/experiment-notebook.git/templates/basic_workflow_example/data/wiki/a_turing.txt',)",./data/wiki/a_turing.txt,430,15489,dead,2021-11-09T20:24:33.803356,2021-11-09T20:24:33.803826
"('/data/Dropbox/desarrollo/experiment-notebook.git/templates/basic_workflow_example/data/wiki/n_chomsky.txt',)",./data/wiki/n_chomsky.txt,1854,20675,alive,2021-11-09T20:24:33.812129,2021-11-09T20:24:33.812770
"('/data/Dropbox/desarrollo/experiment-notebook.git/templates/basic_workflow_example/data/wiki/k_popper.txt',)",./data/wiki/k_popper.txt,533,13629,dead,2021-11-09T20:24:33.789067,2021-11-09T20:24:33.789851
